"team","conference2005","conference2006","conference2007","conference2008","conference2009","conference2010","conference2011","conference2012","conference2013","conference2014","conference2015","conference2016","conference2004","conference2003","conference2002","conference2001","conference2000","conference1999","conference1998","conference1997","conference1996"
"CD Chivas USA","West","West","West","West","West","West","West","West","West","West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New York Red Bulls","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East"
"Columbus Crew","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","Central","Central","East","East","East","East"
"Sporting Kansas City","East","East","East","East","East","East","East","East","East","East","West","West","West","West","West","West","West","West","West","West","West"
"FC Dallas","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","Central","Central","West","West","West","West"
"San Jose Earthquakes","West",NA,NA,"West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West"
"DC United","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East"
"New England Revolution","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East"
"Colorado Rapids","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West"
"LA Galaxy","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West","West"
"Real Salt Lake","West","West","West","West","West","West","West","West","West","West","West","West",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicago Fire","East","East","East","East","East","East","East","East","East","East","East","East","East","East","East","Central","Central","West","West",NA,NA
"Houston Dynamo",NA,"West","West","West","West","West","East","East","East","East","West","West",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toronto FC",NA,NA,"East","East","East","East","East","East","East","East","East","East",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Sounders",NA,NA,NA,NA,"West","West","West","West","West","West","West","West",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philadelphia Union",NA,NA,NA,NA,NA,"East","East","East","East","East","East","East",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vancouver Whitecaps",NA,NA,NA,NA,NA,NA,"West","West","West","West","West","West",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portland Timbers",NA,NA,NA,NA,NA,NA,"West","West","West","West","West","West",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal Impact",NA,NA,NA,NA,NA,NA,NA,"East","East","East","East","East",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orlando City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East","East",NA,NA,NA,NA,NA,NA,NA,NA,NA
"New York City FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East","East",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Fusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East","East","East","East",NA,NA
"Tampa Bay Mutiny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central","Central","East","East","East","East"
